FID Name Type Covariate R2 pvalue
23413 "Phospholipids in LDL" Metabolites smoking 4e-04 3e-26
23413 "Phospholipids in LDL" Metabolites spectrometer 0.02031 0
23413 "Phospholipids in LDL" Metabolites time_analysis 0.00716 0
23413 "Phospholipids in LDL" Metabolites time_day 0.00361 1e-230
23414 "Phospholipids in HDL" Metabolites PCs 0.00465 1e-194
23414 "Phospholipids in HDL" Metabolites age_recruitment 0.00642 0
23414 "Phospholipids in HDL" Metabolites assessment_centre 0.0021 6e-146
23414 "Phospholipids in HDL" Metabolites batch 0.00498 0
23414 "Phospholipids in HDL" Metabolites bmi 0.03954 0
23414 "Phospholipids in HDL" Metabolites fasting 0.00025 4e-21
23414 "Phospholipids in HDL" Metabolites month_attending 0.001 3e-70
23414 "Phospholipids in HDL" Metabolites sex 0.1691 0
23414 "Phospholipids in HDL" Metabolites smoking 0.00169 1e-131
23414 "Phospholipids in HDL" Metabolites spectrometer 0.00856 0
23414 "Phospholipids in HDL" Metabolites time_analysis 0.00497 0
23414 "Phospholipids in HDL" Metabolites time_day 0.01159 0
23415 "Total Esterified Cholesterol" Metabolites PCs 0.00335 4e-181
23415 "Total Esterified Cholesterol" Metabolites age_recruitment 0.02087 0
23415 "Total Esterified Cholesterol" Metabolites assessment_centre 0.00381 3e-241
23415 "Total Esterified Cholesterol" Metabolites batch 0.00529 0
23415 "Total Esterified Cholesterol" Metabolites bmi 0.01204 0
23415 "Total Esterified Cholesterol" Metabolites fasting 0.00062 4e-44
23415 "Total Esterified Cholesterol" Metabolites month_attending 0.00116 2e-71
23415 "Total Esterified Cholesterol" Metabolites sex 0.0756 0
23415 "Total Esterified Cholesterol" Metabolites smoking 0.00045 9e-32
23415 "Total Esterified Cholesterol" Metabolites spectrometer 0.02244 0
23415 "Total Esterified Cholesterol" Metabolites time_analysis 0.0065 0
23415 "Total Esterified Cholesterol" Metabolites time_day 4e-05 0.0002
23416 "Cholesteryl Esters in VLDL" Metabolites PCs 0.00461 1e-241
23416 "Cholesteryl Esters in VLDL" Metabolites age_recruitment 0.02314 0
23416 "Cholesteryl Esters in VLDL" Metabolites assessment_centre 0.00403 4e-231
23416 "Cholesteryl Esters in VLDL" Metabolites batch 0.00184 7e-104
23416 "Cholesteryl Esters in VLDL" Metabolites bmi 0.01192 0
23416 "Cholesteryl Esters in VLDL" Metabolites fasting 5e-05 0.0002
23416 "Cholesteryl Esters in VLDL" Metabolites month_attending 0.0011 8e-61
23416 "Cholesteryl Esters in VLDL" Metabolites sex 0.01283 1e-13
23416 "Cholesteryl Esters in VLDL" Metabolites smoking 0.0015 1e-93
