FID,Name,Type,r2_PCs,r2_Residuals,r2_age_recruitment,r2_assessment_centre,r2_batch,r2_bmi,r2_fasting,r2_month_attending,r2_sex,r2_smoking,r2_spectrometer,r2_time_analysis,r2_time_day,r2_acquisition_time,r2_device_ID,r2_dilution_factor,r2_Batch,r2_panel_date,r2_ppp_sel,p.value_PCs,p.value_Residuals,p.value_age_recruitment,p.value_assessment_centre,p.value_batch,p.value_bmi,p.value_fasting,p.value_month_attending,p.value_sex,p.value_smoking,p.value_spectrometer,p.value_time_analysis,p.value_time_day,p.value_acquisition_time,p.value_device_ID,p.value_dilution_factor,p.value_Batch,p.value_panel_date,p.value_ppp_sel,Label
il36g,IL36G,Proteins,0.00406,0.96107,0.00177,0.00166,,0.0106,0.0,0.00088,0.01787,0.00059,,,3e-05,,,,8e-05,0.00125,0.00014,1.9999999999999998e-32,,7e-17,1e-07,,4e-101,1.0,8e-05,4.9999999999999994e-167,5e-07,,,0.3,,,,0.6,1.0,0.01,il361
il3ra,IL3RA,Proteins,0.00579,0.91124,0.00027,0.00117,,0.00169,0.00017,0.00041,0.07371,0.00315,,,0.00017,,,,2e-05,0.00158,0.00062,1e-18,,0.4,6e-05,,1e-18,0.005,0.07,0.0,3e-33,,,0.005,,,,1.0,0.8,9e-08,il3r
il4,IL4,Proteins,0.00109,0.99539,0.0,0.00111,,1e-05,9e-05,0.0006,9e-05,0.0,,,0.0001,,,,4e-05,0.00142,4e-05,2e-08,,0.7,0.0006,,0.5,0.05,0.008,0.05,0.9,,,0.04,,,,0.9,1.0,0.2,il4
il4r,IL4R,Proteins,0.00584,0.93888,0.02381,0.00644,,0.00439,0.00025,0.00334,0.00617,0.00437,,,0.0028,,,,0.00011,0.00121,0.0024,7.999999999999999e-30,,1.9999999999999999e-230,6e-50,,4.0000000000000006e-45,0.0007,9e-27,5e-59,6e-45,,,2.0000000000000002e-29,,,,0.4,1.0,1.9999999999999998e-25,il4r
il5,IL5,Proteins,0.00037,0.98826,0.00373,0.00074,,0.0,1e-05,0.0002,0.00506,0.00023,,,0.0,,,,0.0001,0.00129,1e-05,0.1,,2.0000000000000003e-34,0.05,,1.0,0.6,0.7,1e-46,0.002,,,1.0,,,,0.5,1.0,0.5,il5
il5ra,IL5RA,Proteins,0.02847,0.9357,0.01755,0.00403,,0.00354,0.00031,0.00023,0.00785,0.00014,,,2e-05,,,,5e-05,0.00133,0.00077,2e-178,,9.999999999999999e-123,2.0000000000000002e-28,,8e-37,0.0002,0.5,3e-27,0.01,,,0.3,,,,0.8,1.0,3e-09,il5r
il6,IL6,Proteins,0.00575,0.77484,0.04266,0.00633,,0.13414,0.00408,0.00084,0.0008,0.0081,,,0.01599,,,,0.00018,0.00229,0.00402,3e-34,,0.0,3e-61,,0.0,1.9999999999999998e-50,3e-06,5e-07,4e-98,,,6.999999999999999e-191,,,,0.07,0.01,1.0000000000000001e-49,il6
il6r,IL6R,Proteins,0.03311,0.94431,0.00582,0.00254,,0.00657,2e-05,0.00036,0.00503,6e-05,,,0.00019,,,,0.00015,0.00138,0.00045,1.0000000000000001e-298,,3.9999999999999996e-30,5e-15,,2e-65,0.4,0.1,2e-22,0.1,,,0.004,,,,0.2,1.0,7e-06,il6r
il6st,IL6ST,Proteins,0.00502,0.94445,0.03173,0.00211,,0.00324,0.00018,0.00116,0.00928,0.00034,,,0.00036,,,,6e-05,0.00106,0.00102,1.0000000000000001e-23,,4.0000000000000003e-233,1e-11,,2e-33,0.004,2e-07,5e-16,9e-05,,,5e-05,,,,0.8,1.0,1e-11,il6s
il7,IL7,Proteins,0.00415,0.96667,0.00063,0.01253,,0.00381,7e-05,0.0026,0.00021,0.00045,,,0.00685,,,,7e-05,0.00188,8e-05,3.9999999999999997e-25,,1e-06,2e-103,,3e-38,0.07,3e-19,0.02,8e-06,,,3e-67,,,,0.7,0.5,0.06,il7
il7r,IL7R,Proteins,0.00597,0.93298,0.00176,0.00126,,0.01988,9e-05,0.00036,0.00561,0.02959,,,0.00082,,,,0.0001,0.00151,6e-05,4e-40,,4e-09,2e-05,,1e-197,0.04,0.1,1e-47,1e-291,,,9e-10,,,,0.4,0.9,0.1,il7r
il9,IL9,Proteins,0.00051,0.99714,9e-05,0.0005,,2e-05,1e-05,9e-05,6e-05,0.00019,,,1e-05,,,,2e-05,0.00135,2e-05,0.03,,0.2,0.4,,0.3,0.5,1.0,0.4,0.004,,,0.6,,,,1.0,1.0,0.4,il9
ilkap,ILKAP,Proteins,0.00166,0.9622,0.00059,0.02271,,0.00482,8e-05,0.00244,0.00132,0.00166,,,0.00083,,,,9e-05,0.00158,0.0,3e-08,,0.9,3e-193,,2.9999999999999997e-47,0.06,1e-17,2e-08,3e-17,,,2e-09,,,,0.6,0.9,0.9,ilka
immt,IMMT,Proteins,0.0035,0.88712,0.01799,0.00432,,0.04996,0.00207,0.00155,0.0252,0.00434,,,0.00011,,,,3e-05,0.0015,0.00232,9e-22,,1e-173,3e-33,,0.0,2.0000000000000002e-23,2e-11,1e-247,2e-47,,,0.02,,,,0.9,0.7,3.9999999999999996e-26,immt
impa1,IMPA1,Proteins,0.00161,0.96313,0.001,0.02367,,0.0005,3e-05,0.00281,0.00083,0.0,,,0.00418,,,,0.00014,0.00205,4e-05,3e-07,,0.001,3e-205,,3e-06,0.2,3e-21,0.08,0.7,,,7.999999999999999e-42,,,,0.3,0.4,0.2,impa
impact,IMPACT,Proteins,0.00245,0.91038,0.00269,0.05608,,0.00852,9e-05,0.00565,0.00624,0.00059,,,0.00475,,,,0.00019,0.00231,6e-05,1e-09,,5e-16,0.0,,5.0000000000000004e-89,0.04,9.999999999999999e-51,1e-52,1e-07,,,9.999999999999999e-51,,,,0.1,0.02,0.08,impa1
impg1,IMPG1,Proteins,0.00094,0.99462,0.00038,0.00117,,0.00027,8e-05,0.00027,0.00074,0.00051,,,3e-05,,,,4e-05,0.00086,9e-05,4e-06,,0.0003,0.0003,,0.0008,0.06,0.4,1e-07,4e-06,,,0.3,,,,0.9,1.0,0.05,impg
ing1,ING1,Proteins,0.0013,0.9714,0.00037,0.01359,,0.00594,3e-05,0.00221,0.00272,0.00112,,,1e-05,,,,6e-05,0.00114,0.0001,0.001,,0.7,9e-110,,3e-57,0.2,2e-15,1.0000000000000001e-23,4e-12,,,0.6,,,,0.8,1.0,0.04,ing1
inhbb,INHBB,Proteins,0.0108,0.84757,0.03044,0.00232,,0.04953,0.00122,0.00048,0.02158,0.00659,,,0.02417,,,,6e-05,0.00152,0.00371,1e-73,,1e-323,2e-15,,0.0,9e-15,0.01,4e-231,1.0000000000000001e-72,,,9.000000000000001e-259,,,,0.7,0.6,7.999999999999999e-42,inhb
